Mes,cemex,facebook,amazon,apple,bimbo,elektra
Jun 2021,0.04852377,0.012128379,-0.071740656,-0.054151374,0.078713602,0.066166402
May 2021,0.104049312,0.08898385,0.111218039,0.065569043,-0.066556095,0.101554377
Abr 2021,0.043699694,0.134604354,-0.003186128,-0.000727537,0.090521296,-0.008019429
Mar 2021,0.157277562,0.004996743,-0.035942804,-0.077708984,-0.002775327,0.002094635
Feb 2021,0.139087634,-0.057137007,-0.008488525,0.001721106,-0.083351374,0.046818919
Ene 2021,0.100848745,-0.015814317,0.025239398,0.098378093,0.007678921,0.019935537
Dic 2020,0.061898208,0.053565842,0.040567205,0.103516639,0.041980884,0.073600921
Nov 2020,0.041915332,-0.002830458,-0.046664308,-0.075272566,-0.006071664,0.004243848
Oct 2020,0.179234768,-0.104942113,-0.084133695,-0.120913873,0.021537788,0.001538565
Sep 2020,0.014326893,0.15398669,0.092739824,0.20456162,-0.002224145,0.008605963
Ago 2020,0.068683705,0.100468921,0.142539408,0.170049661,0.054533607,-0.058137036
Jul 2020,0.21085461,0.017259693,0.119230789,0.138929686,0.097397863,-0.044332645