Tweet,clasif
   si no lo hace aquí ya no me importa,negativo
 vamosamerica ,neutral
    mufe a fidalgo,neutral
     jajajaja jaja no sean ogts,positivo
  con que poquito les endulza el oido el  y el  al final van a traer a otros 4 troncazos de laterales y no a los que estan abarajados y si traen a kevin alvarez van a romper el vestuario con su socio el reyes y el delantero que traigan va a ser un fiasco,negativo
   jajajajaj mira quién habla el que se aventó 23 años para volver a ser campeón,neutral
rt  federico viñas pasa al león  con esto se abre otra plaza de extranjero en ,neutral
  no logro entender como nos eliminaron,negativo
 ya vienes al  ,neutral
     como si lo fueras a pagar tú ,neutral
rt     les ves caras de italianos a estos cabr0nes ,neutral
   amigos no creo por un traspaso se deben estar haciendo estos movímientos  quizás por kevin,negativo
rt  primer refuerzo de  via  ,neutral
"   ya denle un rato al america total que puede pasar 
este como ya lo odian como comentarista la neta quiere cambiar de aires  
por su boca no tarda en estar como payaso en los semáforos cuando lo echen",negativo
rt      israel reyes y kevin alvarez después de hacer un trio con nailea,neutral
     hahahahahaha,neutral
     al rato como córdoba y vigon ,neutral
rt  sería mucho pedir a kevin alvarez casi cerrado y compitiendo por la titularidad a barbosa por supuesto que se vaya layún,neutral
 me gusta para el   para tapar la baja de aquino,neutral
  a donde se va o que,neutral
"rt  sorpresa amigos del  kevin alvarez se vestiría de águila 
qué opinan ",neutral
  no,negativo
   si no es quiñones yo rescatataría a ibáñez de tigres,negativo
    comoquiera van a vv en tu estadio y con tu gente seguiremos siendo los mejores de mty así traigan a pep guardiola siempre nos pelaran toda la v jajajajaja son la vergüenza y burla de mty rayados perdedores,negativo
  es su momento,neutral
   esta semana soy más tigre que batocletti y dueñas,neutral
rt  gracias  por dejarme ser parte de tu historia gracias a los jugadores a la directiva a todos los empleados,positivo
  la verdad no,negativo
vete a la verga  ya llevo como tres días sin dormir bien no mamen salen con sus mamadas de seguro todo arregladote todo mal se vió bien falso no era para que acabara así no mamen ya son muchas chingaderas y siempre los mismo no es normal,negativo
    ojala se refuersen bien para que puedan dar batalla en liguilla por que los que tienen se cagan ,negativo
aún siguen escondidos y avergonzados los de el  jejejeje ,neutral
   salados y eres de cruz azul jajaja tantita madre güey,positivo
   porfa él pans y la utileros que le van a dar a este técnico que sea talla caguama jajaja pobre sabe que es tan malo como comentarista y que lo estamos destrozando por todos lados que ya quiere mejor ser dt,positivo
    jaja la opinión de un porro que se cree universitario no vale lárgate a bañar mariguano apestas a tacos de canasta y thinner,positivo
es semana de final del futbol mexicano y los tt s en tuiter desde el domingo son acerca del ave acaso a nadie le importa quien sea campeón hasta el  su portada hoy fue sobre el ,neutral
  regresa tano,neutral
    hubiera estado mejor barbosa de atlas  y a menos precio kevin jugo mal el torneo pasado y su carta está muy inflada  pero ya se adquirió un posición importante  falta defensa central y un recambio bueno en la delantera,positivo
 cámara ,neutral
  aquí es ,neutral
 traigan al fantasmita  ,neutral
     a nadie le importan los equipos regios excepto a los regios  ya kyncn,neutral
  alfredo tena,neutral
demasiado humo aunque parece ser que en esta ocasión nadie pero nadie sabe cienciacierta que pasara con las salidas y llegadas en el  todo mundo esta tirando nombres he información confirmada a ver cual es la que pega,neutral
  diego valdés y cáceres serían ventas a europa no son moneda de cambio en liga mx,negativo
 el próximo dt debe ser nagelsmann o gallardo jamás en la vida diego alonso,neutral
     dónde dice que yo lo quiero  si me preguntas si es mejor cambio que viñas si solo digo que conociendo como se ha manejado baños el siguiente paso cantado es ir por el mexicano llega gratis y es un referente en el club,positivo
"  venta a europa  
jajajajaja 
pobre chavo ya echo a perder su carrera con esos salados ",negativo
  si ya lo intentaron con solari por que ahora no intentarlo con guti,negativo
" jugadorazo de esos incomprendidos que echan a perder su carrera ellos mismos

uno con los que fantaseaba que llegara al  después de su paso en el  era el momento idóneo",negativo
     bro tiene 25 años crees que a sus 26 o 27 se va a ir a europa por 10 mdd crees que va a ser titular en selección considerando que hay uno más joven en cantera del barca uno que nos guste o no en ajax y huescas con posibilidades de ir al psv a buen precio y más joven,positivo
        leyenda,neutral
   aguirre es bueno para equipos chicos y salvarlos del descenso,positivo
    pobre ya echo a perder su carrera y jamás saldrá campeón con esos salados mediocres,negativo
    fake,neutral
  todo gracias a emilio es quien está haciendo los movimientos que el pendej0 de baños nunca puede hacer,positivo
   este cabeza oxigenada no le veo nada bueno,positivo
el muy mediocre  dice que  es un equipo perdedor el payaso en cuestión solo logro un título de liga en 14 años que diambuló en  y fue además directivo de la época más mediocre de  el perdedor además jugo en el irrelevante jerez español,negativo
    truncando carreras como siempre,neutral
 fueradiegovaldes  ,neutral
     jajaja pendejazo usted que no conoce en que posición juega cada uno ,positivo
     xddddddddddd,neutral
  mugroso pájaro de malahuero está fue la que le hecho la sal al américa jajaja sigue apoyando a los tuyo con suerte los rematas jajajajaj,positivo
  completamente mal fuentes quien te lo va a aceptar de cambio layún ya está pensando en el retiro así que cuál cambió y dónde dejas a cáceres que pidió su salida y diego valdez,negativo
  uff serían casi 20 millones para la lateral derecha ,neutral
    nahhh el se va a europa ,neutral
"  tiene buenas estadísticas entonces opino que si deberían llegar a un acuerdo además es mexicano 

america y ya los demás son copias",positivo
    que en paz descanse su carrera ,positivo
   así como israel reyes en su momento buenos en equipos medianitos,neutral
     para que quieres a raul jiménez de regreso,neutral
     muy cierto están hablando del tremendo fracaso de los dizque equipos grandes con 40 puntos y queriendo demostrar grandeza lástima ahí será para la próxima,negativo
a dormir tranquilo porfin no veremos más a layun en el ame ,positivo
rt  y la flamante dirección deportiva del  seguirá desmintiendo a los medios o ya tendrá a alguien para sacar del ri,neutral
"  no se rick parece falso
más cuando mi compadre empieza a hablar de la posibilidad con los porcentajes",negativo
  cómo debe de ser,neutral
  que si nos gusta es un deseo frustrado mientras siga en la presidencia baños a este técnico le gusta escoger a sus jugadores y no que se los impongan,negativo
  kevin podría ser el siguiente paul aguilar ambos se forjaron en pachuca,neutral
 un saludo desde méxico se extraña tu garra en el más grande  tiempos oscuros se viven ahora,positivo
" se vestirá de azulcrema el director técnico mexicano javier aguirre respondió a los rumores que lo vinculan como el nuevo entrenador del 

",neutral
 si  quiere un buen central y lateral este tipo y rivero los harian ganar varios títulos ,positivo
  con 1 dejas a layun de suplente o subes a alguien de las inferiores por izquierda traes a campos orquin y fuentes de suplentes,neutral
      rayos ,neutral
  me encantas un buen,neutral
   no que no iria a ningun equipo aqui el fue el que rechazo a rayados y tigres la temporada pasada,negativo
     quiñones no es un delantero centro puro,negativo
rt  kevin álvarez al  y fede viñas al  con mis ojos cerrados ,neutral
"  fuerabaños 
fuerabaños
fuerabaños 
fuerabaños",neutral
rt  captan a mando de la  cuando golpeó a un adulto mayor con un bastón retráctil los hechos ocurrieron en el ángel,positivo
  solo tendría 1 la de roger martinez no cuenta ya que para el siguiente torneo se iban a reducir las plazas de extranjeros yo esperaría la baja de pedro aquino y desde mi punto de vista los demás extranjeros si tendrían que quedar adicional a las bajas de jugadores mexicanos,negativo
   si que lo contraten yo estoy de acuerdo todos los equipos de la ligamx estamos de acuerdo,positivo
    ni aunque venga messi y cristino me vuelvo a ilusionar con el ave ,neutral
y una vez más el  y  pueden ir a chingar a su madre ,neutral
  k vergüenza de directivos del américaesos chayoteros lame botas de baños esos reporteros coludidos,negativo
  baños no tarda en traer a otro roger el engaña pendejos martínez,negativo
  muchos hoy en día no mas por que tenemos buenos micrófonos pensamos que somos como ustedes,negativo
  que no llega chingao  que no por que publican pendejdas,negativo
  nel,neutral
  pues viendo algo bueno de este desastre es que parece que por fin haran limpieza menos mal que el hipopotamo de roger quedaba libre el peor fichaje de lo que va del siglo si no es que el peor de la historia,negativo
rt  los reporpromotor y los reporfans no tienen idea  si aguirre o alonso llega al  seguirían en lo mismo cometiend,negativo
    es mejor que barbosa,positivo
rt  entiende  mientras sigas prescindiendo de  y el promotor nazareno marcollese así traigas a pepe guardiol,neutral
    ese quién es bro,neutral
   estaría bien nos falta un líder que ponga huevos y no arrugue,negativo
"rt  vamos águilas vamos américa  

𝐉𝟏𝟔  𝐀𝐦é𝐫𝐢𝐜𝐚 𝐯𝐬 𝐏𝐮𝐦𝐚𝐬
  22 de abril
  2110 horas
  
fan id 𝐎",neutral
  entonces tío jerry quien deberían de ser el nuevo dt,neutral
  pasen de la que están fumando,neutral
      jajajajajajjajsja es q quien no,negativo
  no te vayas a torcer del coraje tio jerry,negativo
    ahuevo lo eligió el nuevo técnico seguramente vdd o ya lo impuso baños ,neutral
 como pasamos de gallardo al vasco ,neutral
   ah cabrón hasta visor me salió,neutral
     no mames el cañito que tira messi al final es de otro nivel ,negativo
   ya lo seguía nmms jajaj,neutral
   sería un terrible error esperemos que máximo tengan 8 7 sería perfecto,negativo
    esto será épico que manden a chasm a reyes,neutral
"  yo ya me iba a dormir pero te pones de pechito

",neutral
" sería otro error de la directiva del   

vidal no es y no tiene nada que hacer en américa

hay 10 mejores antes que él",negativo
   ya we ae encuentra en negociacion con toda la liga mx jajajajja,neutral
   se debe fichar mejor eso es seguro pero también estoy casi seguro de que van a buscar tener a los 10 extranjeros en la plantilla,positivo
"   es que con salidas a europa se pueden liberar casi la mitad 
cáceres 
valdés 
richard 
los tres con chances de ir al viejo continente y entre la prisa no vaya a ser que traigan algo peor jaja",negativo
    perdedor como el america,negativo
   no no son en plantel son en cancha  pero con la experiencia de roger creo ya les quedó muy claro,negativo
   y por lo que se ha comentado al parecer tmb se va cáceres que esperemos que sea vdd ,neutral
    primero amarrado quiñones se acabo el dia de ayer y ya nada hoy luego kevin mañana ya casi cerrado omar campos o mateus doria ya es de risa esto,positivo
      el kevin anduvo antes con la morra que es novia de isra reyes ,neutral
     caro tiene todo el futuro por delante 23 torneos buenos sin contar que pueda y sea campeón otra vez y cuando se venda a europa se recupera esa lana,positivo
   es lo que digo yo en américa tiene mucha presión déjenlo que juegue con león y lo vamos a querer de regreso,neutral
rt  aquí debe de funcionar el fan id  o habrá quedado como un proceso absurdo que viola la privacidad de las pe,negativo
    mañana sigue doria,neutral
   hasta dónde sé la nueva regla dice que se baja de 8 a 7 en campo no sé si también baja de 10 a 9 en el plantel,negativo
   ese wey la va a romper con el león,neutral
     no había pensado en eso ajajajajajajajjaja que gozadaa será si viene sería muy turbio ser compañero de equipo del ex de tú novia,negativo
   2 la de roger es la del nuevo reglamento,neutral
  eso sí no regresa meré,neutral
     si mario carrillo crítico a fidalgo y mira yo no se que le ven es un jugador de estadísticas pero en un partido difícil no te marca diferencia no individualiza no nada,negativo
   ya vieron desde donde empiezan con la instrucción del lavadero vía europa  2024  desde la mera televia patrocinador de tigres rayados y américa y alineados con fema y cemex    ,neutral
   kevin alvarez debe ser águila firmenlo ya ,neutral
  y de arturo vidal que se sabe ,neutral
    todos los que tienen el cabello blanco o plateado se les funden las neuronas y se preocupan más por su pelito que por jugar viene a peinarse con israel reyes,neutral
  mi sobrino dice que es el ideal,neutral
"es casi un hecho lo de kevin alvarez al america 
pero yo hubiera preferido a barboza
siento que esta en mejor momento fue de lo mejorcito de atlas en su espantoso juego contra chivas y no esta tan caro como kevin pero oye si fichan a kevin pues muy bien también",positivo
   trae la playera de chivas más puesta que amaury vergara,neutral
     en que forma tuvo pasado americanista el yayo disculpa mi ignorancia,negativo
"  firmo que esté mercado sea kevin campos y quiñones y por ahí un central raúl no puede competirle a henry hoy por mas que el
corazón diga que si raúl no está",negativo
"rt  gracias fernando ortiz por haber formado parte de las águilas
suerte en tus futuros proyectos
somosamérica ",positivo
"

raúl jiménez podría sentarse a negociar con el  si se baja su salario  a esperar que decide el mexicano",positivo
  no,negativo
   ese cabron es más chiva que el mismo escudo,neutral
  tiene un potencial enorme aunque le falta pulirse defensivamente con los entrenadores correctos puede volverse el mejor lateral de la liga,positivo
     otero porque es una basura reyes hizo buen torneo liguilla del asco y además otero fue más por la presión de la gente no porque baños lo quisiera fuera,negativo
  si sucede eso sería la estafa del año para grupo pachuca xd,negativo
  espero que sea venta definitiva y que nunca vuelva a pisar las instalaciones del club ojalá se confirme,neutral
    pos no eran la aplanadora quien los entiende,negativo
  si que venga,neutral
  ganamos señores,neutral
     otero duró un torneo,neutral
   ni se te ocurra x desgracia el nivel de raúl jiménez no es óptimo para competir aquí solo lo van a reventar cada fin de semana si vas a traer 1 delantero dbe ser julián quiñones al ,negativo
"    nuestra defensa parece una boy band kevin alvarez sebastian casceres y el israel reyes no asustan a nadie 
donde quedo el capitán furia pablo aguilar tipos duros y feos",negativo
    faltaría omar campos felíx torres de santos  y le traería de nuevo a lescano que jugaba en juárez,neutral
  si  fox vive del   y más andré marin   tiene  a lado  a  y a rubén rodrigues que son americanistas y yayo también tubo pasado americanista  etc,negativo
     pura calidad,neutral
     si es por viñas yo te diría llévatelo y es más yo te pago pero ya llévatelo,neutral
    también la coca ina es muy popular y utilizada por muchas personas y no por eso es buena,positivo
"  no con     
we la carrilla hay que aguantarla ni pedo",negativo
kevin álvarez al  y fede viñas al  con mis ojos cerrados ,neutral
  miguel angel ficha a quiquesanchezflores si se va el entrenador de ahora al  ,neutral
   ya son amiguis azcárraga y martínez,neutral
   sin duda ,negativo
    así le digo a tu mamá le gusta que le hable sucio a la puerca,negativo
  no mameeees ,negativo
     creo que fueron dos una donde decía que el nuevo técnico del américa sería mikel herrerín y esta  ,neutral
   ahora necesitamos a un entrenador exigente y un delantero que le haga competencia a  henry,negativo
     lleva un torneo no creo,negativo
   sería álvarez o barbosa y se ocupa un central lider,neutral
     tuitazo bro,neutral
   aún así es demasiado es un ld,neutral
   ya se habían tardado ,neutral
  no,negativo
  jjajajajajaj ya tampoco mamen si tampoco es fifa con que llegue uno ya es bueno,positivo
    todavía no traen al técnico y ya tienen a su primer refuerzo que buena planeación jajajajja,negativo
"  su último torneo con pachuca no fue el mejor en selección ha quedado a deber pero ya sabemos el nivel que puede dar personalmente me parecía en estos momentos mejor barbosa por el momento que vive y por el precio
ahora a buscar un lateral izquierdo",positivo
     lo de quiñones sería la bomba  de los últimos años,negativo
   pd vaya usted a chingar a su pta madre sin el no se apure no se pierde,negativo
  yo con que llegue quiñones y alan cervantes o omar campos soy feliz,positivo
   ahuevo q si,neutral
 es correcto la liga vive de   pierda o gane,neutral
  no creo que lo puedan pagar al final saldrán con una ridiculez estilo america,negativo
  con todos estos nuevos fichajes y que por fin se están haciendo las cosas bien el otro torneo tenemos que ganarlo caminando,neutral
  que falta que se quiera ir viñas,neutral
   les pesa la playera por eso no sirven en américa y es lo que pasa la mayoría de las veces en américa no sirven y en otros clubs son líderes ahí la grandeza de mí equipo que no cualquier petardo es líder,negativo
     ese we jajajajajjajajajaja,neutral
sería mucho pedir a kevin alvarez casi cerrado y compitiendo por la titularidad a barbosa por supuesto que se vaya layún   ,neutral
     falta quiñones y un técnico de jerarquia,neutral
   les dije que viñas era moneda de cmabio,neutral
"  opciones que deberían ser para dt para el america
mario salas dt de chile
marcelino garcia toral
tite 
hernán crespo",neutral
"        ángel fernández fue un destacado reportero de 
excélsior  en la sección de deportes",neutral
     ahora traen a hakimi bro,neutral
"   opciones que deberían ser para dt para el america
mario salas dt de chile
marcelino garcia toral
tite 
hernán crespo",neutral
  kevin ya está casi cerrado vía  ,neutral
   arriba los tigres de la universidad autónoma de nuevo león ,neutral
     viñas  5m,neutral
  pffff va a haber pedos en la defensa vs israel reyes jejeje pero al fin vamos a tener un lateral decente ,neutral
     neta crees que el grupo pachuca es tan pendejo si el está tasando a kevin en 10 mdd y pide 6 y viñas es porque claramente está tardando a viñas en al menos 3 mdd,positivo
  falta campos barbosa y julian quiñones,neutral
"  julio ibáñez 

en este momento no ay nada con kevin alvarez muy difícil en estos momentos que américa haga ese trueque 
el más cerca es chávez de san luis y compita con layun verdad ",negativo
  ah no ma no me la creo,negativo
    pero que se pinte el pelo,neutral
    jajaja como le hacemos entender a estos aficionados que nunca podrán ser campeones,positivo
"sorpresa amigos del  kevin alvarez se vestiría de águila 
qué opinan ",neutral
   tiene pinta de ser a futuro un gran entrenador pero está muy verde y es normal es un novato interino quedó demostrado en las 3 semifinales que perdió por falta de madurez y experiencia que solo te la da el tiempo o los años,negativo
   yo hasta no ver no creer en estos tiempos mucho humo,negativo
  en chile quiere poner a vidal en club america jehe,neutral
  jajajaja el que tiene la cara de mojon mongol,neutral
  jajajajajajaja ya valio la defensa del  con el pendejo de    ese wey ya no sirve,negativo
     jajajajajajaja,neutral
     entiendo que para nosotros no vale nada pero para los promotores y equipos si por ser joven y uruguayo sin problemas le pueden sacar de 23 mdd,negativo
     dio la nota ayer,neutral
     jajaja cual,positivo
  ahora si no hay pretexto para buscar un 9 que meta goles importantes no un triplete a mazatlan como henry el proximo torneo lo tenemos que jugar con otro delantero de jerarquía que sea el titular y henry de suplente,negativo
     no vale a viñas y dinero no mames,negativo
  se viene el prime de viñas jajaja,positivo
   yo creo que el we la caga mucho peeero está dentro de fox y seguro sabe cosas de los equipos de casa,positivo
  quiñones para que le quite la titularidad al raquetin pecho frío,neutral
  muy caro para un club que ya no tiene el dinero de antes ni el mejor jugador del plantel cobra lo que cobra gallardo,positivo
   no we dijieron que iñarritu es el que se está encargando de eso,negativo
   y no lo seguía,negativo
  pero no es oficial bro no entiendo por qué creer lo que dice rubén,negativo
  la verdad que ya estoy arto de  y más de ustedes  no que europa no que blabla lo que pasó con paul aguilar con pizarro  al  y mandar a  al león tantita madre pachuca ,negativo
   lo malo sería la edad,negativo
  ok de acuerdo y después las demás posiciones   con el fichaje de kevin se  acaba el presupuesto haha,positivo
día 3 de carrilla  seguimos firmes  arriba el ,neutral
    jamás voy a creer nada que venga del tipo que se comió una noticia fake del tío wilo,positivo
     jajajajajaajajajaja,neutral
"  y con la de aquino x campos una más 
aquino 
viñas 
roger 
3 plazas que se deben aprovechar al máximo",neutral
  nico díaz,neutral
  y julian quiñones,neutral
    se va a ir reyes,neutral
" la épica ante el  les dio la motivación extra para esta final 

ligabbvamx ",positivo
  ojalá se pudiera a los dos sería un sueño después de los dos muertos que teníamos en esa lateral jajaja ,positivo
    a ver si así se pone las pilas israel ,neutral
                así es  además tiene que hacer una limpia comenzando por los futbolistas que siempre cometen errores puntuales y groseros,negativo
     que tiene que ver reyes si no juegan la misma posición ,negativo
  la plaza q libera viñas debe ocuparla este señor      ,neutral
"  dejen a baños trabajar 
alch si se arma si se los chingo rico",positivo
  falta campos y barbosa,neutral
    es que kevin si me gusta pero para mí no vale lo que piden,negativo
   tienes razón no son 5 son 6 años 2 miserables goles en 6 años de liguillas,negativo
  ya duérmete un rato,neutral
  entonces el américa ya es compa del grupo ranchuca,neutral
"   que pueda hacer algo relevante en otro club nos debe importar una mierda

ya demostró que aquí no vale así que sus viudas se pueden ir con el a chingar a su madre junto con el",negativo
   firmaarturo ,neutral
    hasta que no lo vea en coapa festejo,negativo
  le sumaria a matheus doria y aldo rocha,neutral
    en un ratito el reporteamigo de baños saldrá a desmentir todo,neutral
      qué disculpe    pero así sea la final final y no este el américa se habla primero del más grande ca  que de cualquier final acostúmbrate américa y ya ,neutral
rt  bonito domingo   ,positivo
"    israel reyes y kevin alvarez después de hacer un trio con nailea vidrio 
",neutral
rt  ayúdame mas inches rateros ,neutral
"  disponible para venir al fútbol mexicano

les gustaría para el  ",neutral
     viñas no vale ni un kilo de carne carnal jajaja que se vaya ya alv,positivo
  dónde lo firmamos pero ojo a solari le tendieron la cama por disciplinado y a este nadie le puede llevar la contra  cosa que veo de maravilla pero es un arma de doble filo,positivo
rt  sería mucho pedir a kevin alvarez y compitiendo por la titularidad a barbosa por supuesto que se vaya layún  ,neutral
   al jardine,neutral
  ahí viene el poderoso oterogol,positivo
  a parte uno de los dos si llega,neutral
  pero hay que esperar acuérdate que a baños se le caen los fichajes de último minuto,negativo
   no fueron 10 alo mucho 7 o 6 por q viñas va a leon,negativo
  exacto ,neutral
  así es no tenían que contratar a los hermanos dos santos y otros en resumen no saben contratar,neutral
   agrégale que también despiden a baños,neutral
  gracias a dios    lamentablemente se tienen que venir estos fracasos dolorosos para que sucedan estas cosas,neutral
    todavia ni es seguro luego ni llegan y andan echando madres hay que esperar,positivo
    jakajajaj y el israel,neutral
  hasta que parece que tenemos directiva,neutral
